name,state,year,n
plant,Tennessee,1999,1
plant,Tennessee,2000,2
plant,Tennessee,2001,2
plant,Tennessee,2002,12
plant,Tennessee,2003,4
plant,Tennessee,2005,2
plant,Tennessee,2006,1
plant,Tennessee,2007,8
plant,Tennessee,2008,2
plant,Tennessee,2009,1
plant,Tennessee,2010,2
plant,Tennessee,2011,6
plant,Tennessee,2012,2
plant,Tennessee,2014,1
plant,Tennessee,2015,9
plant,Tennessee,2016,4
plant,Tennessee,2017,7
plant,Tennessee,2018,5
plant,Tennessee,2020,5
plant,Tennessee,2021,2
plant,Texas,1976,1
plant,Texas,1977,7
plant,Texas,1978,2
plant,Texas,1979,5
plant,Texas,1980,4
plant,Texas,1981,5
plant,Texas,1982,6
plant,Texas,1983,5
plant,Texas,1984,10
plant,Texas,1985,3
plant,Texas,1986,7
plant,Texas,1987,6
plant,Texas,1988,3
plant,Texas,1989,9
plant,Texas,1990,2
plant,Texas,1991,9
plant,Texas,1992,1
plant,Texas,1993,1
plant,Texas,1994,3
plant,Texas,1995,5
plant,Texas,1996,1
plant,Texas,1997,10
plant,Texas,1998,8
plant,Texas,1999,8
plant,Texas,2000,11
plant,Texas,2001,8
plant,Texas,2002,5
plant,Texas,2003,9
plant,Texas,2004,7
plant,Texas,2005,2
plant,Texas,2006,2
plant,Texas,2007,9
plant,Texas,2008,2
plant,Texas,2009,9
plant,Texas,2010,10
plant,Texas,2011,3
plant,Texas,2013,9
plant,Texas,2014,4
plant,Texas,2015,11
plant,Texas,2016,21
plant,Texas,2017,43
plant,Texas,2018,20
plant,Texas,2019,21
plant,Texas,2020,44
plant,Texas,2021,7
plant,Texas,2022,3
plant,Utah,1977,1
plant,Utah,1991,7
plant,Utah,1992,2
plant,Utah,1998,1
plant,Utah,1999,6
plant,Utah,2001,1
plant,Vermont,1991,1
plant,Vermont,2013,5
plant,Vermont,2017,2
plant,Virginia,1981,1
plant,Virginia,1982,1
plant,Virginia,1984,1
plant,Virginia,1985,2
plant,Virginia,1986,2
plant,Virginia,1989,2
plant,Virginia,1994,1
plant,Virginia,1995,5
plant,Virginia,1998,3
plant,Virginia,1999,2
plant,Virginia,2001,2
plant,Virginia,2002,2
plant,Virginia,2003,1
plant,Virginia,2004,1
plant,Virginia,2005,1
plant,Virginia,2007,1
plant,Virginia,2008,1
plant,Virginia,2009,1
plant,Virginia,2012,2
plant,Virginia,2014,1
plant,Virginia,2015,1
plant,Virginia,2016,1
plant,Virginia,2018,1
plant,Virginia,2019,2
plant,Virginia,2020,1
plant,Virginia,2021,6
plant,Washington,1977,3
plant,Washington,1979,3
plant,Washington,1980,1
plant,Washington,1981,3
plant,Washington,1982,7
plant,Washington,1983,2
plant,Washington,1984,1
plant,Washington,1985,2
plant,Washington,1986,5
plant,Washington,1987,1
plant,Washington,1988,6
plant,Washington,1989,7
plant,Washington,1990,7
plant,Washington,1991,2
plant,Washington,1992,4
plant,Washington,1993,1
plant,Washington,1994,12
plant,Washington,1995,2
plant,Washington,1996,5
plant,Washington,1997,7
plant,Washington,1998,3
plant,Washington,1999,4
plant,Washington,2000,4
plant,Washington,2001,8
plant,Washington,2002,9
plant,Washington,2003,9
plant,Washington,2004,3
plant,Washington,2005,2
plant,Washington,2006,3
plant,Washington,2007,5
plant,Washington,2008,6
plant,Washington,2009,11
plant,Washington,2010,7
plant,Washington,2011,5
plant,Washington,2012,5
plant,Washington,2013,7
plant,Washington,2014,19
plant,Washington,2015,15
plant,Washington,2016,15
plant,Washington,2017,25
plant,Washington,2018,20
plant,Washington,2019,20
plant,Washington,2020,25
plant,Washington,2021,7
plant,Washington,2022,4
plant,West Virginia,1977,2
plant,West Virginia,1978,12
plant,West Virginia,1979,4
plant,West Virginia,1980,10
plant,West Virginia,1981,3
plant,West Virginia,1988,1
plant,West Virginia,1998,1
plant,West Virginia,2002,1
plant,West Virginia,2004,5
plant,West Virginia,2005,1
plant,West Virginia,2009,2
plant,West Virginia,2010,2
plant,West Virginia,2012,1
plant,West Virginia,2014,2
plant,West Virginia,2015,2
plant,West Virginia,2020,2
plant,West Virginia,2021,1
plant,Wisconsin,1982,3
plant,Wisconsin,1984,1
plant,Wisconsin,1985,3
plant,Wisconsin,1986,3
plant,Wisconsin,1987,4
plant,Wisconsin,1988,2
plant,Wisconsin,1994,4
plant,Wisconsin,1995,1
plant,Wisconsin,1998,4
plant,Wisconsin,2001,3
plant,Wisconsin,2002,6
plant,Wisconsin,2003,7
plant,Wisconsin,2004,7
plant,Wisconsin,2005,4
plant,Wisconsin,2006,3
plant,Wisconsin,2007,4
plant,Wisconsin,2008,6
plant,Wisconsin,2009,5
plant,Wisconsin,2010,7
plant,Wisconsin,2011,6
plant,Wisconsin,2012,4
plant,Wisconsin,2013,6
plant,Wisconsin,2014,13
plant,Wisconsin,2015,6
plant,Wisconsin,2016,10
plant,Wisconsin,2017,13
plant,Wisconsin,2018,21
plant,Wisconsin,2019,14
plant,Wisconsin,2020,10
plant,Wisconsin,2021,9
plant,Wisconsin,2022,2
plant,Wyoming,2001,1
plant,Wyoming,2002,1
reissue,Alabama,1976,3
reissue,Alabama,1977,1
reissue,Alabama,1978,1
reissue,Alabama,1979,2
reissue,Alabama,1980,2
reissue,Alabama,1983,3
reissue,Alabama,1984,3
reissue,Alabama,1985,1
reissue,Alabama,1987,1
reissue,Alabama,1988,1
reissue,Alabama,1989,2
reissue,Alabama,1990,4
reissue,Alabama,1991,1
reissue,Alabama,1992,2
reissue,Alabama,1993,2
reissue,Alabama,1995,3
reissue,Alabama,1998,2
reissue,Alabama,1999,7
reissue,Alabama,2000,1
reissue,Alabama,2002,3
reissue,Alabama,2003,7
reissue,Alabama,2005,1
reissue,Alabama,2006,2
reissue,Alabama,2007,2
reissue,Alabama,2008,3
reissue,Alabama,2009,3
reissue,Alabama,2010,3
reissue,Alabama,2011,2
reissue,Alabama,2012,5
reissue,Alabama,2014,1
reissue,Alabama,2015,3
reissue,Alabama,2017,2
reissue,Alabama,2019,1
reissue,Alaska,1990,1
reissue,Alaska,1995,1
reissue,Alaska,2005,1
reissue,Alaska,2010,1
reissue,Alaska,2011,1
reissue,Alaska,2012,1
reissue,Arizona,1976,1
reissue,Arizona,1977,3
reissue,Arizona,1978,3
reissue,Arizona,1979,1
reissue,Arizona,1980,2
reissue,Arizona,1981,4
reissue,Arizona,1982,2
reissue,Arizona,1983,5
reissue,Arizona,1984,1
reissue,Arizona,1986,1
reissue,Arizona,1987,3
reissue,Arizona,1988,2
reissue,Arizona,1989,1
reissue,Arizona,1990,1
reissue,Arizona,1991,1
reissue,Arizona,1992,4
reissue,Arizona,1993,7
reissue,Arizona,1994,2
reissue,Arizona,1995,1
reissue,Arizona,1996,10
reissue,Arizona,1998,7
reissue,Arizona,1999,4
reissue,Arizona,2000,14
reissue,Arizona,2001,13
reissue,Arizona,2002,10
reissue,Arizona,2003,7
reissue,Arizona,2004,4
reissue,Arizona,2005,9
reissue,Arizona,2006,6
reissue,Arizona,2007,14
reissue,Arizona,2008,9
reissue,Arizona,2009,6
reissue,Arizona,2010,38
reissue,Arizona,2011,16
reissue,Arizona,2012,25
reissue,Arizona,2013,19
reissue,Arizona,2014,16
reissue,Arizona,2015,18
reissue,Arizona,2016,10
reissue,Arizona,2017,15
reissue,Arizona,2018,22
reissue,Arizona,2019,11
reissue,Arizona,2020,12
reissue,Arizona,2021,5
reissue,Arizona,2022,10
reissue,Arkansas,1977,2
reissue,Arkansas,1978,1
reissue,Arkansas,1981,2
reissue,Arkansas,1982,1
reissue,Arkansas,1983,2
reissue,Arkansas,1984,1
reissue,Arkansas,1988,1
reissue,Arkansas,1993,1
reissue,Arkansas,1996,1
reissue,Arkansas,1998,1
reissue,Arkansas,1999,1
reissue,Arkansas,2001,6
reissue,Arkansas,2002,2
reissue,Arkansas,2006,4
reissue,Arkansas,2007,6
reissue,Arkansas,2008,3
reissue,Arkansas,2010,1
reissue,Arkansas,2011,2
reissue,Arkansas,2012,1
reissue,Arkansas,2016,3
reissue,Arkansas,2019,10
reissue,Arkansas,2020,10
reissue,Arkansas,2021,1
reissue,California,1976,53
reissue,California,1977,44
reissue,California,1978,62
reissue,California,1979,45
reissue,California,1980,43
reissue,California,1981,61
reissue,California,1982,58
reissue,California,1983,51
reissue,California,1984,43
reissue,California,1985,39
reissue,California,1986,44
reissue,California,1987,34
reissue,California,1988,33
reissue,California,1989,32
reissue,California,1990,61
reissue,California,1991,49
reissue,California,1992,65
reissue,California,1993,52
reissue,California,1994,62
reissue,California,1995,68
reissue,California,1996,61
reissue,California,1997,54
reissue,California,1998,56
reissue,California,1999,86
reissue,California,2000,123
reissue,California,2001,119
reissue,California,2002,110
reissue,California,2003,104
reissue,California,2004,99
reissue,California,2005,64
reissue,California,2006,127
reissue,California,2007,160
reissue,California,2008,152
reissue,California,2009,127
reissue,California,2010,248
reissue,California,2011,356
reissue,California,2012,225
reissue,California,2013,227
reissue,California,2014,148
reissue,California,2015,197
reissue,California,2016,114
reissue,California,2017,109
reissue,California,2018,187
reissue,California,2019,197
reissue,California,2020,199
reissue,California,2021,229
reissue,California,2022,70
reissue,Colorado,1976,6
reissue,Colorado,1977,17
reissue,Colorado,1978,4
reissue,Colorado,1979,5
reissue,Colorado,1980,12
reissue,Colorado,1981,2
reissue,Colorado,1983,2
reissue,Colorado,1984,3
reissue,Colorado,1985,3
reissue,Colorado,1986,6
reissue,Colorado,1987,3
reissue,Colorado,1988,3
reissue,Colorado,1989,7
reissue,Colorado,1990,9
reissue,Colorado,1991,7
reissue,Colorado,1992,10
reissue,Colorado,1993,9
reissue,Colorado,1994,8
reissue,Colorado,1995,9
reissue,Colorado,1996,7
reissue,Colorado,1997,2
reissue,Colorado,1998,7
reissue,Colorado,1999,11
reissue,Colorado,2000,15
reissue,Colorado,2001,5
reissue,Colorado,2002,8
reissue,Colorado,2003,7
reissue,Colorado,2005,4
reissue,Colorado,2006,16
reissue,Colorado,2007,11
reissue,Colorado,2008,14
reissue,Colorado,2009,3
reissue,Colorado,2010,10
reissue,Colorado,2011,16
reissue,Colorado,2012,7
reissue,Colorado,2013,23
reissue,Colorado,2014,7
reissue,Colorado,2015,14
reissue,Colorado,2016,6
reissue,Colorado,2017,11
reissue,Colorado,2018,6
reissue,Colorado,2019,15
reissue,Colorado,2020,10
reissue,Colorado,2021,5
reissue,Colorado,2022,9
reissue,Connecticut,1976,25
reissue,Connecticut,1977,12
reissue,Connecticut,1978,22
reissue,Connecticut,1979,8
reissue,Connecticut,1980,12
reissue,Connecticut,1981,24
reissue,Connecticut,1982,16
reissue,Connecticut,1983,13
reissue,Connecticut,1984,17
reissue,Connecticut,1985,13
reissue,Connecticut,1986,10
reissue,Connecticut,1987,5
reissue,Connecticut,1988,15
reissue,Connecticut,1989,13
reissue,Connecticut,1990,1
reissue,Connecticut,1991,9
reissue,Connecticut,1992,20
reissue,Connecticut,1993,13
reissue,Connecticut,1994,13
reissue,Connecticut,1995,12
reissue,Connecticut,1996,6
reissue,Connecticut,1997,8
reissue,Connecticut,1998,17
reissue,Connecticut,1999,20
reissue,Connecticut,2000,18
reissue,Connecticut,2001,7
reissue,Connecticut,2002,15
reissue,Connecticut,2003,15
reissue,Connecticut,2004,11
reissue,Connecticut,2005,8
reissue,Connecticut,2006,9
reissue,Connecticut,2007,14
reissue,Connecticut,2008,13
reissue,Connecticut,2009,3
reissue,Connecticut,2010,42
reissue,Connecticut,2011,17
reissue,Connecticut,2012,15
reissue,Connecticut,2013,9
reissue,Connecticut,2014,16
reissue,Connecticut,2015,16
reissue,Connecticut,2016,13
reissue,Connecticut,2017,6
reissue,Connecticut,2018,13
reissue,Connecticut,2019,1
reissue,Connecticut,2020,11
reissue,Connecticut,2021,5
reissue,Connecticut,2022,7
reissue,Delaware,1976,5
reissue,Delaware,1977,4
reissue,Delaware,1978,6
reissue,Delaware,1979,3
reissue,Delaware,1980,8
reissue,Delaware,1981,4
reissue,Delaware,1983,2
reissue,Delaware,1984,3
reissue,Delaware,1985,5
reissue,Delaware,1986,1
reissue,Delaware,1988,1
reissue,Delaware,1989,1
reissue,Delaware,1990,1
reissue,Delaware,1991,3
reissue,Delaware,1992,2
reissue,Delaware,1995,3
reissue,Delaware,1996,4
reissue,Delaware,1998,1
reissue,Delaware,1999,12
reissue,Delaware,2000,2
reissue,Delaware,2001,4
reissue,Delaware,2002,4
reissue,Delaware,2004,2
reissue,Delaware,2005,1
reissue,Delaware,2006,4
reissue,Delaware,2007,9
reissue,Delaware,2008,3
reissue,Delaware,2009,8
reissue,Delaware,2010,6
reissue,Delaware,2011,2
reissue,Delaware,2012,2
reissue,Delaware,2013,7
reissue,Delaware,2014,4
reissue,Delaware,2016,1
reissue,Delaware,2018,1
reissue,Delaware,2019,4
reissue,Delaware,2020,3
reissue,Delaware,2021,2
reissue,Dist. of Columbia,1976,1
reissue,Dist. of Columbia,1979,1
reissue,Dist. of Columbia,1981,1
reissue,Dist. of Columbia,1982,2
reissue,Dist. of Columbia,1992,1
reissue,Dist. of Columbia,1993,1
reissue,Dist. of Columbia,1995,1
reissue,Dist. of Columbia,1998,2
reissue,Dist. of Columbia,1999,2
reissue,Dist. of Columbia,2001,2
reissue,Dist. of Columbia,2008,1
reissue,Dist. of Columbia,2009,1
reissue,Dist. of Columbia,2010,5
reissue,Dist. of Columbia,2011,1
reissue,Dist. of Columbia,2012,1
reissue,Dist. of Columbia,2014,2
reissue,Dist. of Columbia,2018,1
reissue,Dist. of Columbia,2019,1
reissue,Dist. of Columbia,2021,5
reissue,Florida,1976,7
reissue,Florida,1977,4
reissue,Florida,1978,3
reissue,Florida,1979,10
reissue,Florida,1980,3
reissue,Florida,1981,2
reissue,Florida,1982,13
reissue,Florida,1983,13
reissue,Florida,1984,2
reissue,Florida,1985,7
reissue,Florida,1986,11
reissue,Florida,1987,10
reissue,Florida,1988,7
reissue,Florida,1989,10
reissue,Florida,1990,21
reissue,Florida,1991,7
reissue,Florida,1992,10
reissue,Florida,1993,14
reissue,Florida,1994,5
reissue,Florida,1995,5
reissue,Florida,1996,8
reissue,Florida,1997,6
reissue,Florida,1998,8
reissue,Florida,1999,23
reissue,Florida,2000,31
reissue,Florida,2001,28
reissue,Florida,2002,16
reissue,Florida,2003,12
reissue,Florida,2004,14
reissue,Florida,2005,4
reissue,Florida,2006,25
reissue,Florida,2007,13
reissue,Florida,2008,19
reissue,Florida,2009,12
reissue,Florida,2010,27
reissue,Florida,2011,59
reissue,Florida,2012,26
reissue,Florida,2013,42
reissue,Florida,2014,14
reissue,Florida,2015,30
reissue,Florida,2016,10
reissue,Florida,2017,17
reissue,Florida,2018,21
reissue,Florida,2019,22
reissue,Florida,2020,25
reissue,Florida,2021,20
reissue,Georgia,1976,7
reissue,Georgia,1977,3
reissue,Georgia,1978,1
reissue,Georgia,1979,1
reissue,Georgia,1980,3
reissue,Georgia,1981,3
reissue,Georgia,1982,1
reissue,Georgia,1983,5
reissue,Georgia,1984,3
reissue,Georgia,1985,7
reissue,Georgia,1986,2
reissue,Georgia,1987,6
reissue,Georgia,1989,5
reissue,Georgia,1990,12
reissue,Georgia,1991,4
reissue,Georgia,1992,4
reissue,Georgia,1993,3
reissue,Georgia,1994,2
reissue,Georgia,1995,2
reissue,Georgia,1996,1
reissue,Georgia,1997,2
reissue,Georgia,1998,6
reissue,Georgia,1999,14
reissue,Georgia,2000,11
reissue,Georgia,2001,11
reissue,Georgia,2002,4
reissue,Georgia,2003,7
reissue,Georgia,2004,12
reissue,Georgia,2005,7
reissue,Georgia,2006,7
reissue,Georgia,2007,10
reissue,Georgia,2008,7
reissue,Georgia,2009,6
reissue,Georgia,2010,26
reissue,Georgia,2011,18
reissue,Georgia,2012,14
reissue,Georgia,2013,4
reissue,Georgia,2014,10
reissue,Georgia,2015,3
reissue,Georgia,2016,10
reissue,Georgia,2017,8
reissue,Georgia,2018,15
reissue,Georgia,2019,20
reissue,Georgia,2020,10
reissue,Georgia,2021,6
reissue,Georgia,2022,4
reissue,Hawaii,1981,4
reissue,Hawaii,1990,1
reissue,Hawaii,2001,2
reissue,Hawaii,2004,2
reissue,Hawaii,2006,2
reissue,Hawaii,2007,3
reissue,Hawaii,2011,2
reissue,Hawaii,2012,3
reissue,Hawaii,2013,1
reissue,Hawaii,2014,1
reissue,Hawaii,2016,2
reissue,Idaho,1977,3
reissue,Idaho,1978,1
reissue,Idaho,1980,1
reissue,Idaho,1982,1
reissue,Idaho,1985,6
reissue,Idaho,1992,1
reissue,Idaho,1993,1
reissue,Idaho,1994,4
reissue,Idaho,1995,2
reissue,Idaho,1996,1
reissue,Idaho,1997,4
reissue,Idaho,1998,12
reissue,Idaho,1999,16
reissue,Idaho,2000,11
reissue,Idaho,2001,5
reissue,Idaho,2002,6
reissue,Idaho,2003,7
reissue,Idaho,2005,4
reissue,Idaho,2006,13
reissue,Idaho,2007,5
reissue,Idaho,2008,7
reissue,Idaho,2009,7
reissue,Idaho,2010,10
reissue,Idaho,2011,13
reissue,Idaho,2012,7
reissue,Idaho,2013,16
reissue,Idaho,2014,2
reissue,Idaho,2015,8
reissue,Idaho,2016,3
reissue,Idaho,2017,1
reissue,Idaho,2018,1
reissue,Idaho,2019,2
reissue,Idaho,2020,2
reissue,Illinois,1976,36
reissue,Illinois,1977,41
reissue,Illinois,1978,38
reissue,Illinois,1979,28
reissue,Illinois,1980,30
reissue,Illinois,1981,26
reissue,Illinois,1982,17
reissue,Illinois,1983,36
reissue,Illinois,1984,21
reissue,Illinois,1985,14
reissue,Illinois,1986,15
reissue,Illinois,1987,21
reissue,Illinois,1988,26
reissue,Illinois,1989,20
reissue,Illinois,1990,28
reissue,Illinois,1991,15
reissue,Illinois,1992,21
reissue,Illinois,1993,29
reissue,Illinois,1994,9
reissue,Illinois,1995,16
reissue,Illinois,1996,19
reissue,Illinois,1997,18
reissue,Illinois,1998,14
reissue,Illinois,1999,27
reissue,Illinois,2000,35
reissue,Illinois,2001,19
reissue,Illinois,2002,20
reissue,Illinois,2003,9
reissue,Illinois,2004,11
reissue,Illinois,2005,18
reissue,Illinois,2006,21
reissue,Illinois,2007,18
reissue,Illinois,2008,17
reissue,Illinois,2009,11
reissue,Illinois,2010,39
reissue,Illinois,2011,36
reissue,Illinois,2012,40
reissue,Illinois,2013,42
reissue,Illinois,2014,26
reissue,Illinois,2015,16
reissue,Illinois,2016,19
reissue,Illinois,2017,11
reissue,Illinois,2018,16
reissue,Illinois,2019,34
reissue,Illinois,2020,13
reissue,Illinois,2021,23
reissue,Illinois,2022,1
reissue,Indiana,1976,15
reissue,Indiana,1977,16
reissue,Indiana,1978,15
reissue,Indiana,1979,9
reissue,Indiana,1980,18
reissue,Indiana,1981,20
reissue,Indiana,1982,5
reissue,Indiana,1983,9
reissue,Indiana,1984,5
reissue,Indiana,1985,5
reissue,Indiana,1986,6
reissue,Indiana,1987,4
reissue,Indiana,1988,1
reissue,Indiana,1989,11
reissue,Indiana,1990,3
reissue,Indiana,1991,3
reissue,Indiana,1992,8
reissue,Indiana,1993,3
reissue,Indiana,1994,7
reissue,Indiana,1995,9
reissue,Indiana,1996,3
reissue,Indiana,1997,5
reissue,Indiana,1998,12
reissue,Indiana,1999,16
reissue,Indiana,2000,5
reissue,Indiana,2001,8
reissue,Indiana,2002,5
reissue,Indiana,2003,11
reissue,Indiana,2004,2
reissue,Indiana,2005,3
reissue,Indiana,2006,26
reissue,Indiana,2007,5
reissue,Indiana,2008,27
reissue,Indiana,2009,9
reissue,Indiana,2010,17
reissue,Indiana,2011,22
reissue,Indiana,2012,41
reissue,Indiana,2013,24
reissue,Indiana,2014,4
reissue,Indiana,2015,7
reissue,Indiana,2016,1
reissue,Indiana,2017,3
reissue,Indiana,2018,10
reissue,Indiana,2020,20
reissue,Indiana,2021,21
reissue,Iowa,1976,6
reissue,Iowa,1977,9
reissue,Iowa,1978,3
reissue,Iowa,1979,3
reissue,Iowa,1980,6
reissue,Iowa,1981,1
reissue,Iowa,1982,4
reissue,Iowa,1984,4
reissue,Iowa,1985,1
reissue,Iowa,1986,1
reissue,Iowa,1987,1
reissue,Iowa,1988,4
reissue,Iowa,1990,2
reissue,Iowa,1992,3
reissue,Iowa,1993,1
reissue,Iowa,1994,2
reissue,Iowa,1996,2
reissue,Iowa,1997,7
reissue,Iowa,1998,1
reissue,Iowa,1999,4
reissue,Iowa,2000,1
reissue,Iowa,2002,1
reissue,Iowa,2003,7
reissue,Iowa,2004,1
reissue,Iowa,2005,1
reissue,Iowa,2006,2
reissue,Iowa,2007,6
reissue,Iowa,2008,13
reissue,Iowa,2010,8
reissue,Iowa,2011,4
reissue,Iowa,2012,9
reissue,Iowa,2013,5
reissue,Iowa,2014,10
reissue,Iowa,2015,13
reissue,Iowa,2017,1
reissue,Iowa,2018,3
reissue,Iowa,2019,1
reissue,Iowa,2020,2
reissue,Iowa,2021,1
reissue,Kansas,1976,3
reissue,Kansas,1977,3
reissue,Kansas,1978,2
reissue,Kansas,1980,1
reissue,Kansas,1981,1
reissue,Kansas,1982,1
reissue,Kansas,1983,1
reissue,Kansas,1987,1
reissue,Kansas,1988,4
reissue,Kansas,1989,1
reissue,Kansas,1990,8
reissue,Kansas,1991,1
reissue,Kansas,1992,1
reissue,Kansas,1993,1
reissue,Kansas,1994,6
reissue,Kansas,1995,4
reissue,Kansas,1996,6
reissue,Kansas,1998,4
reissue,Kansas,1999,2
reissue,Kansas,2000,3
reissue,Kansas,2001,1
reissue,Kansas,2003,3
reissue,Kansas,2004,1
reissue,Kansas,2006,6
reissue,Kansas,2007,2
reissue,Kansas,2008,12
reissue,Kansas,2009,4
reissue,Kansas,2010,6
reissue,Kansas,2011,7
reissue,Kansas,2014,2
reissue,Kansas,2016,1
reissue,Kansas,2017,1
reissue,Kansas,2018,3
reissue,Kansas,2019,3
reissue,Kansas,2020,1
reissue,Kansas,2021,3
